testCase,email,password,expected
T-2 email with spaces,test test,testpassword,Invalid Email or Password
T-3 short password,test@test.com,test,Invalid Email or Password
T-4 long email,verylongusernamefortest,testpassword,Invalid Email or Password
T-5 short password,test@test.com,123456,Invalid Email or Password
T-6 long password,test@test.com,verylongpasswordfortest,Invalid Email or Password
T-7 password with spaces,test@test.com,password with spaces,Invalid Email or Password
T-8 null password,test@test.com,"",Invalid Email or Password
T-9, null email"",testpassword,Invalid Email or Password
T-10 email with symbols,%$test@test.com,testpassword,Invalid Email or Password
T-11 email with spaces,test @test.com,testpassword,Invalid Email or Password
