testCase,email,username,password,retypePassword,elementID,expected
T-13,email,testusername,testpassword,testpassword,error,INVALID EMAIL
T-14,"",testusername,testpassword,testpassword,error,REQUIRED FIELD(EMAIL)
T-15,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss@s.dk,testusername,testpassword,testpassword,error,EMAIL TOO LONG
T-16,email@gmail.com,"",testpassword,testpassword,error,REQUIRED FIELD(USERNAME)
T-17,email@gmail.com,test,testpassword,testpassword,error,USERNAME TOO SHORT
T-18,email@gmail.com,usernameisfartoolongtowork,testpassword,testpassword,error,USERNAME TOO LONG
T-19,email@gmail.com,&&!)(¤,testpassword,testpassword,error,INVALID USERNAME
T-20,email@gmail.com,Ole Nielsen,testpassword,testpassword,error,INVALID USERNAME
T-21,email@gmail.com,testusername,1234567,1234567,error,PASSWORD TOO SHORT
T-22,email@gmail.com,testusername,abcdefghilkjqsaws,abcdefghilkjqsaws,error,PASSWORD TOO LONG
T-23,email@gmail.com,testusername,"","",error,REQUIRED FIELD(PASSWORD)
T-24,email@gmail.com,testusername,testpassword,incorrectpass,error,PASSWORDS DO NOT MATCH
